category	sku	name	supplier	cost	price	track_stock	purchase_treatment	inventory_qty	stock_quantity
Tubeless	AE0004	Cinta Tubeless Deemount 10Mt, 23mm	Aliexpress	3099.0	6990.0	True	inventory	0	0
Tubeless	AE0005	Cinta Tubeless Deemount 10Mt, 25mm	Aliexpress	3331.0	6990.0	True	inventory	0	0
Tubeless	AE0006	Cinta Tubeless Deemount 10Mt, 27mm	Aliexpress	3583.0	7990.0	True	inventory	1	1
Tubeless	AE0209	Cinta Tubeless GOLDIX 1Mt 25mm	Aliexpress	147.24	1000.0	True	inventory	44	44
Tubeless	AE0166	Cinta Tubeless GOLDIX 1Mt, 20mm	Aliexpress	118.62	1000.0	True	inventory	50	50
Tubeless	AE0153	Cinta Tubeless GOLDIX 1Mt, 30mm	Aliexpress	141.32	1000.0	True	inventory	50	50
Válvula Tubeless	AE0234	Obús Válvula Deemount F/V 1Un	Aliexpress	258.42	1500.0	True	inventory	10	10
Válvula Tubeless	AE0208	Válvula Francesa Tubular Deemount 40 mm Roja	Aliexpress	1612.5	5000.0	True	inventory	1	1
Válvula Tubeless	AE0039	Válvula Tubeless Deemount A/V 1 Un. 40mm	Aliexpress	2392.0	4990.0	True	inventory	2	2
Válvula Tubeless	AE0046	Válvula Tubeless Deemount F/V 1 Un. 60mm	Aliexpress	2135.17	6000.0	True	inventory	1	1
Válvula Tubeless	AE0287	Válvula Tubeless Deemount F/V 1un. 40mm	Aliexpress	1928.0	5000.0	True	inventory	5	5
Válvula Tubeless	AE0152	Válvula Tubeless MANA F/V 1 Un. 50mm	Aliexpress	2327.0	6000.0	True	inventory	0	0
Válvula Tubeless	BPS005	Wistio - Núcleo de Valvula F/V - Unidad	Bikepointstore	502.0	1500.0	True	inventory	1	1
